method,estimate,flow,cq,runid
truth,145.5010641058107,unaltered,enrich,97
pw,13.441854994376401,base,none,97
beale,13.345393968446782,base,none,97
rating,13.219839882318574,base,none,97
composite,13.615685860401928,base,none,97
truth,13.314519914080895,base,none,97
pw,13.453616505299685,storm,none,97
beale,12.765828916494732,storm,none,97
rating,13.504388924412718,storm,none,97
composite,13.97628095063554,storm,none,97
truth,13.321065392532242,storm,none,97
pw,13.428292567025442,unaltered,none,97
beale,13.24371265683601,unaltered,none,97
rating,13.277443099573798,unaltered,none,97
composite,13.665553228213213,unaltered,none,97
truth,13.311167566663347,unaltered,none,97
pw,13.341594551229045,base,chemostatic,97
beale,13.346757194173936,base,chemostatic,97
rating,13.310006966238793,base,chemostatic,97
composite,13.355158113341894,base,chemostatic,97
truth,13.314519914080895,base,chemostatic,97
pw,13.19053136479517,storm,chemostatic,97
beale,13.293461083036366,storm,chemostatic,97
rating,13.014677818049565,storm,chemostatic,97
composite,12.99950753364159,storm,chemostatic,97
truth,13.262883741328341,storm,chemostatic,97
pw,13.297645110758461,unaltered,chemostatic,97
beale,13.323213380362008,unaltered,chemostatic,97
rating,13.237060933186305,unaltered,chemostatic,97
composite,13.269319170224398,unaltered,chemostatic,97
truth,13.300601119615397,unaltered,chemostatic,97
pw,25.174730517095025,base,broken_dilution,96
beale,25.14875827373704,base,broken_dilution,96
rating,25.032115991340596,base,broken_dilution,96
composite,25.163540805508188,base,broken_dilution,96
truth,24.080442865709955,base,broken_dilution,96
pw,25.055809084224023,storm,broken_dilution,96
beale,24.911928245335808,storm,broken_dilution,96
rating,24.4346436995204,storm,broken_dilution,96
composite,24.64676380869533,storm,broken_dilution,96
truth,19.21734475169976,storm,broken_dilution,96
pw,25.1166094098065,unaltered,broken_dilution,96
beale,25.074229872210243,unaltered,broken_dilution,96
rating,24.865922798581455,unaltered,broken_dilution,96
composite,25.006098335408755,unaltered,broken_dilution,96
truth,23.10433564193811,unaltered,broken_dilution,96
pw,121.62961074574959,base,enrich,96
beale,124.28821354675091,base,enrich,96
rating,135.76996287759425,base,enrich,96
composite,136.77760652705152,base,enrich,96
truth,135.17566429908956,base,enrich,96
pw,127.80547430439745,storm,enrich,96
beale,142.33947254029843,storm,enrich,96
rating,178.19241540492033,storm,enrich,96
composite,180.60180381789144,storm,enrich,96
truth,180.1235103006272,storm,enrich,96
pw,123.8617064220839,unaltered,enrich,96
beale,128.6086134151078,unaltered,enrich,96
rating,146.8884575479441,unaltered,enrich,96
composite,148.0939499159147,unaltered,enrich,96
truth,145.50538710267273,unaltered,enrich,96
pw,13.666419974399348,base,none,96
beale,13.586797894845821,base,none,96
rating,13.173209602074005,base,none,96
composite,13.43523955878294,base,none,96
truth,13.314515587030717,base,none,96
pw,13.112168928449963,storm,none,96
beale,12.141578981211472,storm,none,96
rating,12.675122356723339,storm,none,96
composite,12.330692055785416,storm,none,96
truth,13.195588447904086,storm,none,96
pw,13.525662787131727,unaltered,none,96
beale,13.321644488879567,unaltered,none,96
rating,12.988866092978647,unaltered,none,96
composite,13.142017352091084,unaltered,none,96
truth,13.25981074195143,unaltered,none,96
pw,13.35064033002939,base,chemostatic,96
beale,13.32990259316483,base,chemostatic,96
rating,13.426997735240752,base,chemostatic,96
composite,13.49774211852316,base,chemostatic,96
truth,13.314515587030717,base,chemostatic,96
pw,13.411847562452746,storm,chemostatic,96
beale,13.344355096410277,storm,chemostatic,96
rating,13.67675247441938,storm,chemostatic,96
composite,13.754198581568836,storm,chemostatic,96
truth,13.262598363933456,storm,chemostatic,96
pw,13.365696372341443,unaltered,chemostatic,96
beale,13.335973729845142,unaltered,chemostatic,96
rating,13.48428774043419,unaltered,chemostatic,96
composite,13.561364635948527,unaltered,chemostatic,96
truth,13.300115413108813,unaltered,chemostatic,96
pw,25.467680566916464,base,broken_dilution,95
beale,25.405095939186737,base,broken_dilution,95
rating,25.264907462941917,base,broken_dilution,95
composite,25.390162192197604,base,broken_dilution,95
truth,24.085676441639517,base,broken_dilution,95
pw,25.35004918474004,storm,broken_dilution,95
beale,25.024905875108303,storm,broken_dilution,95
rating,24.431617347621856,storm,broken_dilution,95
composite,24.623744408928808,storm,broken_dilution,95
truth,19.207734409013604,storm,broken_dilution,95
pw,25.409557789119592,unaltered,broken_dilution,95
beale,25.302411073841483,unaltered,broken_dilution,95
rating,25.047726988142927,unaltered,broken_dilution,95
composite,25.19186808153359,unaltered,broken_dilution,95
truth,23.105917641248393,unaltered,broken_dilution,95
pw,120.64801260528102,base,enrich,95
beale,123.48957670185177,base,enrich,95
rating,133.6710719216828,base,enrich,95
composite,134.2809759356063,base,enrich,95
truth,135.2441902793882,base,enrich,95
pw,125.45084968410075,storm,enrich,95
beale,140.58082307644662,storm,enrich,95
rating,172.2074927845397,storm,enrich,95
composite,173.28322725755373,storm,enrich,95
truth,180.3300502525657,storm,enrich,95
pw,122.57110566674567,unaltered,enrich,95
beale,127.59585257926861,unaltered,enrich,95
rating,143.80889706014895,unaltered,enrich,95
composite,144.45776693537445,unaltered,enrich,95
truth,145.59500059735242,unaltered,enrich,95
pw,13.565415328569282,base,none,95
beale,13.560689115883216,base,none,95
rating,13.086928577030678,base,none,95
composite,13.417777574567191,base,none,95
truth,13.310824844408842,base,none,95
pw,13.468998064357448,storm,none,95
beale,13.366564181607567,storm,none,95
rating,12.568342849867188,storm,none,95
composite,12.790746058442524,storm,none,95
truth,13.274309207628663,storm,none,95
pw,13.527109979067578,unaltered,none,95
beale,13.50507073730373,unaltered,none,95
rating,12.944534945363113,unaltered,none,95
composite,13.263505647186266,unaltered,none,95
truth,13.288090894051605,unaltered,none,95
pw,13.181555320658719,base,chemostatic,95
beale,13.186150662555729,base,chemostatic,95
rating,13.170305663456686,base,chemostatic,95
composite,13.234938747209325,base,chemostatic,95
truth,13.310824844408842,base,chemostatic,95
pw,13.21502614840151,storm,chemostatic,95
beale,13.340470052326218,storm,chemostatic,95
rating,13.105002684626369,storm,chemostatic,95
composite,13.235044532580725,storm,chemostatic,95
truth,13.249466108266551,storm,chemostatic,95
pw,13.183618339905433,unaltered,chemostatic,95
beale,13.203499663369598,unaltered,chemostatic,95
rating,13.153097512495412,unaltered,chemostatic,95
composite,13.233235366685006,unaltered,chemostatic,95
